epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,7792.24,0.77921,0.90084,1,0.29534,0.00998992,0.00332997,0.00998992,0.00332997,0.00998992,0.00332997,0.00998992,0.00332997
2,11300.8,0.3952,0.89412,1,0.30245,0.0195941,0.00653137,0.0195941,0.00653137,0.0195941,0.00653137,0.0195941,0.00653137
3,13527.8,0.37297,0.8874,1,0.35799,0.0288023,0.00960077,0.0288023,0.00960077,0.0288023,0.00960077,0.0288023,0.00960077
4,15641.6,0.38265,0.95525,1,0.12764,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,17699.6,0.29054,0.87625,1,0.34224,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,26774,0.24753,0.97361,1,0.08598,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,29324.8,0.22787,0.96935,1,0.10258,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,31617.8,0.20252,0.98656,1,0.03903,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,33874.1,0.19247,0.99312,1,0.02499,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,36485.2,0.17988,0.96689,1,0.11539,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,40276.8,0.17395,0.99066,1,0.03241,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,42761.7,0.16773,0.99246,1,0.02626,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,44960.7,0.15645,0.99262,1,0.025,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,78132.1,0.15344,0.99082,1,0.03135,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,80653.6,0.14617,0.99377,1,0.0198,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,82801.3,0.15275,0.99574,1,0.01453,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,84788,0.15227,0.9918,1,0.02493,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,86832.2,0.1299,0.99475,1,0.01751,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,91325.6,0.12824,0.99607,1,0.01328,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,94136.5,0.12214,0.99557,1,0.01257,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,96925.3,0.12317,0.99721,1,0.00849,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,98944.7,0.12725,0.99754,1,0.00936,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,100801,0.12502,0.99754,1,0.00776,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,102683,0.12101,0.99574,1,0.01231,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,104665,0.11365,0.99787,1,0.00944,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,129060,0.1117,0.99869,1,0.00647,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,131606,0.11214,0.99738,1,0.00765,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,134701,0.10356,0.99852,1,0.00583,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,137650,0.09875,0.99787,1,0.00564,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,163144,0.10439,0.99803,1,0.00652,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,165206,0.10618,0.99787,1,0.00704,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,167123,0.09881,0.9982,1,0.00567,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,168957,0.09136,0.99885,1,0.00448,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,170746,0.08944,0.99836,1,0.00527,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,176854,0.08763,0.99885,1,0.00518,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,180037,0.07964,0.99852,1,0.00676,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,182755,0.0902,0.99836,1,0.00639,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,185158,0.0901,0.99869,1,0.00555,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,196023,0.08682,0.99885,1,0.00501,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,200538,0.08276,0.99902,1,0.00424,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,202406,0.07707,0.99869,1,0.00469,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,205684,0.07905,0.99852,1,0.00517,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,208766,0.0792,0.99869,1,0.00483,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,211652,0.07369,0.99918,1,0.00443,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,214290,0.06599,0.99918,1,0.00413,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,217502,0.0727,0.99902,1,0.00424,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,246052,0.06904,0.99902,1,0.00422,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,251899,0.06443,0.99934,1,0.00406,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,253929,0.06596,0.99934,1,0.00407,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,256237,0.0656,0.99934,1,0.0042,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
